Name,Cleaned Domain,Phone Number,Address,Keywords
New Latitude Movers,newlatitudemovers.com,2058553737,"130 Industrial Drive, Birmingham, AL, 35211","['Movers', 'Relocation Service']"
Oakdale Moving & Storage,N/A,8446814827,Serving the Birmingham Area,"['Movers', 'Movers-Commercial & Industrial', 'Movers & Full Service Storage']"
AIR 7 SEAS Transport Logistics Inc,air7seas.com,8884048124,Serving the Birmingham Area,"['Movers', 'Customs Consultants', 'Moving Services-Labor & Materials']"
We Will Transport It,wewilltransportit.com,8443157733,Serving the Birmingham Area,"['Movers', 'Boat Equipment & Supplies', 'Transportation Services']"
Good Moves Moving Systems Inc,N/A,2054108527,"5821 Walnut Grove Rd, Birmingham, AL, 35215","['Movers', 'Movers & Full Service Storage', 'Moving Services-Labor & Materials']"
"American Eagle Moving & Transport, LLC",americaneaglemovingusa.com,2056232150,"5511 Highway 280, Birmingham, AL, 35242","['Movers', 'Movers & Full Service Storage', 'Local Trucking Service']"
Apartment Movers,N/A,2059252133,"Birmingham, AL, 35211",['Movers']
Coleman Worldwide Moving,colemanallied.com,2059420009,"2120A Montevallo Rd SW, Birmingham, AL, 35211","['Movers', 'Movers & Full Service Storage', 'Moving Services-Labor & Materials']"
"A Wise Move, Inc.",N/A,2052764416,"4500 5th Ave S Ste D, Birmingham, AL, 35222","['Movers', 'Moving Services-Labor & Materials', 'Storage Household & Commercial']"
Moving Help,movinghelp.com,2056233606,"53 18th Ave S, Birmingham, AL, 35205",['Movers']
Moving Help,movinghelp.com,2056233611,"2710 Oxmoor Glen Dr, Birmingham, AL, 35211",['Movers']
Jackson Moving Co,jacksonmoving.com,2058337263,"816 Sundale Dr, Birmingham, AL, 35235","['Movers', 'Movers & Full Service Storage', 'Moving Services-Labor & Materials']"
New Latitude Movers,newlatitudemovers.com,2059889000,"100 W Oxmoor Rd, Birmingham, AL, 35209","['Movers', 'Moving Services-Labor & Materials', 'Storage Household & Commercial']"
Hawkins Transfer,N/A,2057905997,"1101 28th St S, Birmingham, AL, 35205",['Movers']
All My Sons Moving & Storage of Birmingham,N/A,2055642704,"131 W Oxmoor Rd Ste 131, Birmingham, AL, 35209","['Movers', 'Movers & Full Service Storage', 'Moving Services-Labor & Materials']"
McCorquodale Transfer,mtmoves.com,2058707474,"2714 2nd Ave N, Birmingham, AL, 35203","['Movers', 'Storage Household & Commercial']"
"Park Transfer & Storage, Inc.",N/A,2053450311,"802 41st St N, Birmingham, AL, 35212","['Movers', 'Relocation Service']"
Side Movers,N/A,2055203430,"29 Center Pl S, Birmingham, AL, 35205",['Movers']
Coleman American Moving Service,colemanallied.com,2059420009,"2120 Montevallo Rd SW, Birmingham, AL, 35211","['Movers', 'Trucking', 'Storage Household & Commercial']"
Alliance Movers Birmingham,alliancemoversgroup.com,2054193400,"25 W Oxmoor Rd, Birmingham, AL, 35209","['Movers', 'Relocation Service', 'Piano & Organ Moving']"
Liberty Moving,libertymovingal.com,2052760745,"100 W Oxmoor Rd, Birmingham, AL, 35209","['Movers', 'Moving Services-Labor & Materials', 'House & Building Movers & Raising']"
Alabama Storage,uhaul.com,2056081103,"1588 Carson Rd N, Birmingham, AL, 35217",['Movers']
Budget Movers,bmover.com,2059429477,"1520 Southern Dr, Birmingham, AL, 35242",['Movers']
Road Runner Moving,movebirmingham.com,2059458339,"417 22nd St N, Birmingham, AL, 35203","['Movers', 'Movers & Full Service Storage', 'Piano & Organ Moving']"
Long-Distance Movers,N/A,2052039594,"2101 6th Ave N, Birmingham, AL, 35203",['Movers']
Sidewalk Fest,N/A,2053240888,"2312 1st Ave N, Birmingham, AL, 35203","['Movers', 'Moving Services-Labor & Materials']"
Pink Zebra Moving,N/A,2057194771,"505 20th St N, Birmingham, AL, 35203",['Movers']
Armstrong Relocation,armstrongrelocation.com,2055811697,"101 25th St S, Birmingham, AL, 35233",['Movers']
Sidewalk Moving Picture Festival,sidewalkfest.com,2053240888,"310 18th St N, Birmingham, AL, 35203","['Movers', 'Moving Services-Labor & Materials']"
Next Step Moving,N/A,2057015610,"2170 Highland Ave S, Birmingham, AL, 35205",['Movers']
Raughley Transfer,N/A,2059439003,"2 41st St S, Birmingham, AL, 35222",['Movers']
Bekins Van Lines,N/A,2055919199,"1320 50th St N, Birmingham, AL, 35212","['Movers', 'Movers & Full Service Storage', 'Moving Services-Labor & Materials']"
"Coleman American Moving Services, Inc Coleman American Moving Services, Inc",colemanallied.com,2059420009,"2120a Montevallo Rd SW, Birmingham, AL, 35211",['Movers']
Ri-Med,rimed.com,2059422650,"232 Oxmoor Cir, Birmingham, AL, 35209",['Movers']
People Movers,N/A,2059454655,"135 W Oxmoor Rd Ste 315, Birmingham, AL, 35209",['Movers']
Armstrong Relocation,armstrongrelocation.com,9013631914,"301 Snow Dr, Birmingham, AL, 35209",['Movers']
Raughley Transfer,N/A,2059439003,"250 Lyon Ln, Birmingham, AL, 35211","['Movers', 'Moving Services-Labor & Materials']"
Moving Help,movinghelp.com,2056234324,"3900 7th Ave, Birmingham, AL, 35224","['Movers', 'Moving Services-Labor & Materials']"
Reliable Moving Company Inc,N/A,2058339455,"8929 Glendale Dr, Birmingham, AL, 35206","['Movers', 'Movers & Full Service Storage', 'Moving Services-Labor & Materials']"
Asset Management Solutions,asset-management-solutions.com,2053803505,"103 Shades Creek Cir, Birmingham, AL, 35211",['Movers']
Graebel Van Lines,graebelmoving.com,8774900719,"101 Shades Creek Cir Ste G, Birmingham, AL, 35211",['Movers']
Two Movers,N/A,2055279116,"842 Gene Reed Rd, Birmingham, AL, 35235",['Movers']
Smooth Moves Moving Company,N/A,2055271467,"7207 Kenley Way, Birmingham, AL, 35242","['Movers', 'Moving Services-Labor & Materials', 'Movers & Full Service Storage']"
Able Body Moving and Delivery,N/A,2054627123,"3029 Brook Highland Dr, Birmingham, AL, 35242","['Movers', 'Moving Services-Labor & Materials']"
Skyline Movers,N/A,2059776406,"200 Missionary Rdg, Birmingham, AL, 35242",['Movers']
Metro Mini Storage,angieslist.com,2059912411,"7036 Meadowlark Dr, Birmingham, AL, 35242","['Movers', 'Self Storage', 'Truck Rental']"
American Eagle Moving & Tnsprt,americaneaglemovingusa.com,2055752775,"7030 Meadowlark Dr, Birmingham, AL, 35242","['Movers', 'Moving Services-Labor & Materials']"
Long-Distance Movers House,N/A,2058100476,"1837 Eastridge Dr, Birmingham, AL, 35235",['Movers']
Road Runner Moving Service,N/A,2059458339,"154 Business Center Dr, Birmingham, AL, 35244","['Movers', 'Movers & Full Service Storage', 'Moving Services-Labor & Materials']"
Moving On Birmingham,movingonbham.com,2056122445,"110 David Green Rd Ste F, Birmingham, AL, 35244",['Movers']
Move Doctors,movingbirmingham.com,2053055474,"Birmingham, AL, 35216",['Movers']
A Moving Experience,N/A,2055748089,"Birmingham, AL, 35215",['Movers']
Reddy 2 Move,movers.com,2059880930,"Birmingham, AL, 35244","['Movers', 'Movers & Full Service Storage']"
Anhay Moving Service,N/A,2053290534,"944 Brandy Ln, Birmingham, AL, 35214",['Movers']
Dms Moving Systems of Alabama,dmsmoving.com,2058417911,"3350 Ball St, Birmingham, AL, 35234","['Movers', 'Movers & Full Service Storage', 'Moving Services-Labor & Materials']"
Deliverance,N/A,2058709774,"2718 19th Pl S, Birmingham, AL, 35209",['Movers']
Best Rate Mover,N/A,2059426666,"951 Beacon Pkwy E, Birmingham, AL, 35209",['Movers']
U-Pack,upack.com,2057986606,"2400 Republic Blvd, Birmingham, AL, 35214","['Movers', 'Movers-Commercial & Industrial']"
Allied Van Lines,allied.com,2055369128,"2120 Montevallo Rd SW Ste 2120, Birmingham, AL, 35211","['Movers', 'Movers & Full Service Storage', 'Moving Services-Labor & Materials']"
Bob's Moving Co,apartmentmoversco.com,2059252133,"1713 Matt Leonard Dr SW, Birmingham, AL, 35211","['Movers', 'Movers & Full Service Storage', 'Moving Services-Labor & Materials']"
Chets Moving Services,N/A,2058544336,"8516 9th Ct S, Birmingham, AL, 35206","['Movers', 'Moving Services-Labor & Materials']"
Quality Moving Svc,N/A,2054135695,"1405 Carol Cir, Birmingham, AL, 35228","['Movers', 'Movers & Full Service Storage']"
Move Daddy.Com,N/A,2059772222,"5511 Highway 280, Birmingham, AL, 35242","['Movers', 'Movers & Full Service Storage', 'Moving-Self Service']"
Modern Movers,modernmoversandstorage.com,2055527455,"4000 Eagle Point Pkwy, Birmingham, AL, 35242","['Movers', 'Movers & Full Service Storage']"
Flemming Moving & Storage,flemmingtransfer.com,2052520800,"2701 11th Ave N, Birmingham, AL, 35234","['Movers', 'Movers & Full Service Storage', 'Moving Services-Labor & Materials']"
A2 Global Shipping,a2globalshipping.com,2055759690,"3928 Valley East Industrial Dr Suite 129i, Birmingham, AL, 35217","['Movers', 'Shipping Services', 'Mail & Shipping Services']"
Discount Movers,discount-movers.com,2058220224,"2141 Larchmont Cir, Birmingham, AL, 35216","['Movers', 'Movers & Full Service Storage', 'Moving Services-Labor & Materials']"
Armstrong Relocation,armstrongrelocation.com,2055834626,"212 25th St N, Birmingham, AL, 35203","['Movers', 'Relocation Service', 'Moving Services-Labor & Materials']"
Quick And Easy Moving And Storage,allmysons.com,2055950340,"4550 5th Ave S, Birmingham, AL, 35222","['Movers', 'Moving Services-Labor & Materials', 'Movers & Full Service Storage']"
Residential Movers Birmingham,residentialmoversbirmingham.com,8772305255,"5025 Highway 280 Ste 101, Birmingham, AL, 35242","['Movers', 'Movers & Full Service Storage']"
B&M Moving Services LLC.,residentialmoversbirmingham.com,2059378217,"Birmingham, AL, 35215","['Movers', 'Moving Services-Labor & Materials', 'Moving Boxes']"
Movers by Changing Spaces Moving Inc,changingspacesmoving.com,2059720744,"130 Inverness Plz # 243, Birmingham, AL, 35242","['Movers', 'Moving Services-Labor & Materials', 'Packing & Crating Service']"
Iron Guard Storage 6th Ave,ironguardstorage.com,2052518050,"320 6th Ave SW, Birmingham, AL, 35211","['Movers', 'Storage Household & Commercial', 'Self Storage']"
Move Masters LLC,movemasters.net,2058626683,"2300 Crestwood Blvd, Birmingham, AL, 35210","['Movers', 'Movers & Full Service Storage', 'Movers-Commercial & Industrial']"
All Around Moving Services Company,local.yp.com,8664850450,"320 6th Ave SW, Birmingham, AL, 35211","['Movers', 'Moving-Self Service', 'Movers & Full Service Storage']"
Industrial Park Mini Storage,fultondalestorage1.com,2056368189,"970 N Pine Hill Rd, Birmingham, AL, 35217","['Movers', 'Storage Household & Commercial', 'Movers & Full Service Storage']"
Road Runner Moving & Storage,movebirmingham.com,2059458339,"1430 Reverend Abraham Woods Jr Blvd, Birmingham, AL, 35203","['Movers', 'Movers & Full Service Storage', 'Piano & Organ Moving']"
Lambert Relocation,N/A,2567108720,"415 37th St N, Birmingham, AL, 35222","['Movers', 'Movers & Full Service Storage', 'Moving-Self Service']"
"Move Masters, LLC",movemasters.net,2058626683,"1401 Doug Baker Blvd Suite 107-162, Birmingham, AL, 35242","['Movers', 'Moving Services-Labor & Materials', 'Safes & Vaults-Movers']"
Able Body Mover's,N/A,2059155480,"6604 Walt DriveUnit #514, Birmingham, AL, 35242","['Movers', 'Movers & Full Service Storage', 'Moving Services-Labor & Materials']"
"Elite Moving Co, LLC",elitemovingco.com,2058860534,"141 Victoria Station, Birmingham, AL, 35244","['Movers', 'Moving Services-Labor & Materials', 'Movers & Full Service Storage']"
Osborne Machinery Movers Inc,osbornemachinery.com,2055910496,"4017 Morris Ave, Birmingham, AL, 35201","['Movers', 'Machinery Movers & Erectors', 'Moving Services-Labor & Materials']"
Flemming Moving And Storage,flemmingtransfer.com,2052520800,"1140 Vanderbilt Rd, Birmingham, AL, 35234","['Movers', 'Movers & Full Service Storage', 'Moving Services-Labor & Materials']"
1-800 Pack Rat,1800packrat.com,8007225728,"1701 Vanderbilt Rd, Birmingham, AL, 35234","['Movers', 'Portable Storage Units']"
Lambert Transfer & Storage,golambertteam.com,2058471177,"2504 3rd St W, Birmingham, AL, 35204","['Movers', 'Storage Household & Commercial', 'Public & Commercial Warehouses']"
Residential Movers,residentialmoversbirmingham.com,2059378217,"4815 9th Ave S, Birmingham, AL, 35222","['Movers', 'Movers & Full Service Storage']"
Move Birmingham,aboutthemove.com,2052245557,"301 Beacon Pkwy W, Birmingham, AL, 35209","['Movers', 'Movers & Full Service Storage', 'Moving Services-Labor & Materials']"
Delaney's Moving & Storage,N/A,2059569700,"1329 Larry Ln, Birmingham, AL, 35213","['Movers', 'Moving Boxes']"
Bellhop Moving,getbellhops.com,2052094551,"1040 Broadway Park, Birmingham, AL, 35209","['Movers', 'Movers & Full Service Storage', 'Moving Services-Labor & Materials']"
C&L Cleaning Service,N/A,2052669605,"7315 2nd Ave S, Birmingham, AL, 35206","['Movers', 'Landscaping & Lawn Services', 'Gutters & Downspouts Cleaning']"
Coleman American Moving Services Inc,abs-promo.com,2056643547,"149 Distribution Dr, Birmingham, AL, 35209","['Movers', 'Moving Services-Labor & Materials']"
PODS-Birmingham Portable Storage,N/A,2057887915,"280 Oxmoor Ct Ste A, Birmingham, AL, 35209","['Movers', 'Storage Household & Commercial']"
Mccorquodale Transfer,N/A,2058707474,"381 Summit Pkwy, Birmingham, AL, 35209","['Movers', 'Storage Household & Commercial']"
Miller Relocation Services,N/A,2059510030,"1819 Grants Mill Rd, Birmingham, AL, 35210","['Movers', 'Relocation Service', 'Local Trucking Service']"
Modern Logistics,N/A,2058533660,"1516 Center Point Pkwy, Birmingham, AL, 35215","['Movers', 'Moving Boxes']"
Best Movers Birmingham,N/A,2052097643,"5417 Livingston Oaks Cir, Birmingham, AL, 35215","['Movers', 'Movers-Commercial & Industrial', 'Cleaning Contractors']"
Mosley Moving,N/A,2054444149,"1713 99th St N, Birmingham, AL, 35217","['Movers', 'Movers & Full Service Storage', 'Moving Services-Labor & Materials']"
Green Springs Mini Storage,N/A,2059422121,"626 Robert Jemison Rd, Birmingham, AL, 35209","['Movers', 'Automobile Storage', 'Boat Storage']"
PODS,pods.com,8777767252,"2700 13th Street Ensley, Birmingham, AL, 35208","['Movers', 'Moving Services-Labor & Materials', 'Movers & Full Service Storage']"
Metro Mini Storage,metroministorage.com,2059421943,"175 W Oxmoor Rd, Birmingham, AL, 35209","['Movers', 'Truck Rental']"
Overton Road Self Storage,overtonroadselfstorage.com,2052094353,"5101 Overton Rd, Birmingham, AL, 35210","['Movers', 'Self Storage', 'Movers & Full Service Storage']"
Greystone Self Storage,greystoneselfstorage.com,2052080586,"5345 Highway 280, Birmingham, AL, 35242","['Movers', 'Storage Household & Commercial', 'Movers & Full Service Storage']"
BEST MOVERS OF BIRMINGHAM,N/A,2057775418,"1808 Carson Rd Apt A, Birmingham, AL, 35215","['Movers', 'Movers & Full Service Storage', 'Moving Services-Labor & Materials']"
Workhorse Moving Labor Systems of Birmingham,N/A,8009453360,"Birmingham, AL, 35242","['Movers', 'Moving Services-Labor & Materials', 'Moving-Self Service']"
TWO MEN AND A TRUCK,twomenbirmingham.com,2059702272,"4851 Cahaba River Rd, Vestavia, AL, 35243","['Movers', 'Moving Services-Labor & Materials', 'Piano & Organ Moving']"
Move Daddy,movedaddy.com,2059772222,"3114 Belwood Dr, Vestavia, AL, 35243",['Movers']
Crocker Moving Services,crockermovingservices.com,2054488505,"124 Distribution Dr, Homewood, AL, 35209","['Movers', 'Piano & Organ Moving']"
Pink Zebra Moving - Birmingham,pinkzebramoving.com,2055109490,"4141 White Oak Dr # 201, Vestavia, AL, 35243",['Movers']
Two Men and a Truck,twomenandatruck.com,2052918090,"3021 Crestwood Blvd, Irondale, AL, 35210","['Movers', 'Moving Services-Labor & Materials', 'Movers & Full Service Storage']"
Triple Crown Moving,triplecrownmovingllc.com,2055145247,"911 Robin Dr, Mount Olive, AL, 35117","['Movers', 'Moving Services-Labor & Materials']"
Long-Distance Movers BRMNGHM,N/A,2052064391,"17 Office Park Cir, Mountain Brk, AL, 35223",['Movers']
Movedaddy.Com,N/A,2059772222,"3242 Cahaba Heights Rd, Vestavia, AL, 35243","['Movers', 'Movers & Full Service Storage', 'Moving Services-Labor & Materials']"
Long-Distance Movers,N/A,2052065781,"2509 River Trace Cir, Vestavia, AL, 35243",['Movers']
Metro Movers,N/A,2058215969,"2517 Mountain Lodge Cir Apt F, Vestavia Hills, AL, 35216","['Movers', 'Moving Services-Labor & Materials', 'Moving-Self Service']"
Always Reddy 2 Move Always Reddy 2 Move,N/A,2058226211,"2252 Old Rocky Ridge Rd, Vestavia Hills, AL, 35216",['Movers']
Road Runner Moving II,N/A,2054343734,"2301 Grand Ave, Hoover, AL, 35226","['Movers', 'Moving Services-Labor & Materials']"
Liberty Moving,libertymovingal.com,2052760745,"4516 Valleydale Rd Ste A, Hoover, AL, 35242","['Movers', 'Moving Services-Labor & Materials']"
Supermovers Inc,N/A,2056370201,"4055 Butler Springs Pl, Hoover, AL, 35226",['Movers']
Shipping Overseas & International MVRS,threemovers.com,2055985146,"2803 Greystone Commercial Blvd, Hoover, AL, 35242",['Movers']
Moving Help,movinghelp.com,2052673399,"1325 8th St, Pleasant Grove, AL, 35127",['Movers']
Direct Movers 205,N/A,2055083661,"3567 Queenstown Rd, Trussville, AL, 35173","['Movers', 'Moving Services-Labor & Materials']"
"Owens, Jim",N/A,2059458339,"3965 Natchez Dr, Vestavia, AL, 35243",['Movers']
Office Movers Inc,N/A,2052526044,"3114 Belwood Dr, Vestavia, AL, 35243",['Movers']
Chet's Moving Service,chetsmovingservice.com,2058544336,Serving the Birmingham Area,"['Movers', 'Movers & Full Service Storage']"
Covan World-Wide Moving,covan.com,2052528556,Serving the Birmingham Area,"['Movers', 'Movers & Full Service Storage', 'Moving Services-Labor & Materials']"
About The Move LLC,aboutthemove.com,2052659959,Serving the Birmingham Area,['Movers']
"Residential Movers, Inc.",residentialmoversbirmingham.com,2059378217,"Trussville Area, Trussville, AL, 35173",['Movers']
A Moving Experience,N/A,3478913567,"Center Point, AL, 35215","['Movers', 'Moving Services-Labor & Materials']"
Modern Movers,N/A,2055527455,"Huntsville, AL, 35242",['Movers']
Move Doctors,N/A,2053055474,"Hoover, AL, 35216",['Movers']
Bigg TIme Movers,N/A,2052035603,"Pleasant Grove, AL, 35127",['Movers']
Nelson Fellows,N/A,2052433045,Serving the Birmingham Area,"['Movers', 'Movers-Commercial & Industrial', 'Movers & Full Service Storage']"
All My Sons Moving & Storage,allmysons.com,2053834692,Serving the Birmingham Area,"['Movers', 'Moving Services-Labor & Materials', 'Storage Household & Commercial']"
Top Flight Movers,N/A,2058734564,Serving the Birmingham Area,"['Movers', 'Movers & Full Service Storage', 'Moving Services-Labor & Materials']"
Southern Moving Co,N/A,2055872575,Serving the Birmingham Area,"['Movers', 'Moving Services-Labor & Materials']"
C & G Moving,N/A,2052532918,Serving the Birmingham Area,"['Movers', 'Moving Services-Labor & Materials']"
Solane Moving Co,N/A,2057903157,Serving the Birmingham Area,"['Movers', 'Moving Services-Labor & Materials']"
Supermovers Inc,N/A,2056370201,Serving the Birmingham Area,"['Movers', 'Movers & Full Service Storage', 'Moving Services-Labor & Materials']"
Minority Moving and High Tech Construction Co,N/A,2053057496,Serving the Birmingham Area,['Movers']
North American Van Lines,northamerican.com,2052088658,Serving the Birmingham Area,"['Movers', 'Movers & Full Service Storage', 'Moving Services-Labor & Materials']"
Best-Movers-Of-Birmingham--A-Mover-U-Can-Trust,N/A,2052023593,Serving the Birmingham Area,"['Movers', 'Moving Services-Labor & Materials']"
Care Free Movers,N/A,2055637484,Serving the Birmingham Area,"['Movers', 'Movers & Full Service Storage', 'Moving Services-Labor & Materials']"
Earl's Moving Company,N/A,2056234421,Serving the Birmingham Area,"['Movers', 'Movers & Full Service Storage', 'Moving Services-Labor & Materials']"
Leif the Mover,N/A,2052839184,Serving the Birmingham Area,"['Movers', 'Movers & Full Service Storage', 'Moving Services-Labor & Materials']"
Global Moving,N/A,2052270790,Serving the Birmingham Area,"['Movers', 'Movers & Full Service Storage']"
Door 2 Door Movers,N/A,2059996683,Serving the Birmingham Area,"['Movers', 'Moving Services-Labor & Materials']"
Red Hot Moving Co,N/A,2054921473,Serving the Birmingham Area,"['Movers', 'Moving Services-Labor & Materials']"
Mountain Movers,N/A,2059655898,Serving the Birmingham Area,"['Movers', 'Moving Services-Labor & Materials']"
Fieldstown Road Self Storage,fieldstownroadselfstorage.com,2053865310,"2241 Fieldstown Rd, Mount Olive, AL, 35117","['Movers', 'Storage Household & Commercial', 'Movers & Full Service Storage']"
Uptown Moving,N/A,2056414170,"221 Stoney Brook Way, Fultondale, AL, 35068","['Movers', 'Movers-Commercial & Industrial', 'Movers & Full Service Storage']"
Metro Truck Rental,metrotruckrental.com,2058531201,"109 Polly Reed Rd, Center Point, AL, 35215","['Movers', 'Storage Household & Commercial', 'Moving Equipment Rental']"
McCorquodale Transfer Inc,mtmoves.com,2058707474,"381 Summit Blvd, Vestavia, AL, 35243","['Movers', 'Movers & Full Service Storage', 'Moving Services-Labor & Materials']"
SUPERMOVERS INC.,N/A,2056370201,Serving the Birmingham Area,"['Movers', 'Movers & Full Service Storage', 'Moving Services-Labor & Materials']"
Raughley Transfer,N/A,2059918839,Serving the Birmingham Area,"['Movers', 'Moving Services-Labor & Materials', 'Trucking']"
Changing Zip Codes,N/A,2055665202,Serving the Birmingham Area,"['Movers', 'Moving Services-Labor & Materials']"
Osborne Machinery Movers Inc,osbornemachinery.com,2058413800,Serving the Birmingham Area,"['Movers', 'Machinery Movers & Erectors', 'Crane Service']"
Pinson Valley Self Storage,pinsonvalleyselfstorage.com,2056838405,"6812 Highway 79, Pinson, AL, 35126","['Movers', 'Storage Household & Commercial', 'Movers & Full Service Storage']"
"Metro Movers, LLC",metromoversllc.com,2058215969,"Vestavia, AL, 35216","['Movers', 'Moving Services-Labor & Materials', 'Piano & Organ Moving']"
Road Runner Moving II,movebirmingham.com,2059458339,Serving the Birmingham Area,"['Movers', 'Storage Household & Commercial', 'Moving Services-Labor & Materials']"
Homes Unlimited,N/A,2054412009,Serving the Birmingham Area,"['Movers', 'Packaging Service', 'Movers & Full Service Storage']"
Metro Truck Rental,N/A,2059447816,Serving the Birmingham Area,"['Movers', 'Movers & Full Service Storage', 'Self Storage']"
J & J's Home Mover and Services,N/A,2057533946,Serving the Birmingham Area,"['Movers', 'Mobile Home Transporting', 'Moving Services-Labor & Materials']"
Stephens Transport,N/A,2052537198,Serving the Birmingham Area,"['Movers', 'Trucking-Motor Freight', 'Moving Services-Labor & Materials']"
Abf U-Pack Moving,youpack.com,8009295368,Serving the Birmingham Area,"['Movers', 'Moving Services-Labor & Materials', 'Movers & Full Service Storage']"
Place To Place Movers,N/A,2059662880,Serving the Birmingham Area,"['Movers', 'Movers & Full Service Storage', 'Moving Services-Labor & Materials']"
"Facility, CAD, & Space Planning, Inc.",N/A,2056806543,"Trussville, AL, 35173","['Movers', 'Drafting Services', 'Interior Designers & Decorators']"
Moving With Intentions Transportation,mwitransportation.com,3347176151,"1511 4th Ave N, Bessemer, AL, 35020",['Movers']
Metro Truck Rental,metrotruckrental.com,2054255571,"730 8th St N, Bessemer, AL, 35020",['Movers']
Wayne Global Moving Services,N/A,2058077275,"1020 9th Ave SW, Bessemer, AL, 35022","['Movers', 'House & Building Movers & Raising']"
DMS Moving Systems of Ala,dmsmoving.com,2054244506,"900 Powder Plant Rd, Bessemer, AL, 35022","['Movers', 'Moving Services-Labor & Materials', 'Storage Household & Commercial']"
Moving Help,movinghelp.com,2054172754,"220 3rd St N, Bessemer, AL, 35020",['Movers']
John Fayard Moving-Warehousing,N/A,2054342131,"850 Powder Plant Rd, Bessemer, AL, 35022","['Movers', 'Moving Services-Labor & Materials', 'Trucking-Motor Freight']"
"DMS Moving Systems, Inc. - Atlas Van Lines",dmsmoving.com?y_source=1_ode3ntm0ltu1my1sb2nhdglvbi53zwjzaxrl,2054244506,"900 Powder Plant Rd Ste 128, Bessemer, AL, 35022","['Movers', 'Relocation Service', 'Movers & Full Service Storage']"
